,Soil Moisture,Temperature, Soil Humidity,Air temperature (C),Wind speed (Km/h),Air humidity (%),Wind gust (Km/h),Pressure (KPa)
7192,8.0,34.0,59.0,19.8,9.91,75.1,44.67,100.94
7193,27.0,15.0,44.0,19.87,11.1,74.51,50.0,100.94
7194,36.0,29.0,68.0,19.86,11.08,74.45,51.08,100.94
7195,22.0,40.0,38.0,19.84,11.07,74.39,52.17,100.94
7196,36.0,39.0,56.0,19.77,10.16,74.49,49.16,100.94
7197,80.0,14.0,55.0,19.7,9.25,74.59,46.15,100.94
7198,18.0,42.0,66.0,19.64,8.88,74.98,50.35,100.94
7199,74.0,7.0,70.0,19.59,8.5,75.37,54.55,100.93
7200,5.0,10.0,31.0,19.55,8.48,75.56,42.66,100.93
7201,89.0,37.0,33.0,19.5,8.45,75.75,30.77,100.93
7202,24.0,5.0,35.0,19.48,8.85,76.04,35.08,100.93
7203,76.0,0.0,70.0,19.45,9.25,76.32,39.38,100.94
7204,77.0,19.0,20.0,19.42,9.66,76.61,43.69,100.94
7205,7.0,26.0,62.0,19.4,10.06,76.9,48.0,100.94
7206,87.0,33.0,66.0,19.41,10.79,77.21,48.0,100.94
7207,73.0,3.0,47.0,19.42,11.52,77.51,48.0,100.93
7208,37.0,11.0,64.0,19.42,10.84,77.4,52.57,100.93
7209,75.0,1.0,26.0,19.43,10.16,77.28,57.14,100.92
7210,40.0,31.0,67.0,19.4,10.42,77.34,59.34,100.92
7211,61.0,36.0,22.0,19.37,10.67,77.41,61.54,100.92
7212,32.0,16.0,23.0,19.29,10.7,77.54,55.26,100.92
7213,87.0,12.0,37.0,19.21,10.74,77.68,48.98,100.91
7214,42.0,1.0,25.0,19.21,10.28,77.56,48.49,100.9
7215,73.0,36.0,64.0,19.21,9.83,77.44,48.0,100.89
7216,72.0,44.0,67.0,19.09,8.99,77.88,44.0,100.89
7217,33.0,45.0,34.0,18.97,8.15,78.31,40.0,100.89
7218,73.0,40.0,32.0,18.99,9.16,78.29,45.53,100.88
7219,76.0,25.0,70.0,19.01,10.17,78.26,51.06,100.87
7220,71.0,4.0,21.0,19.02,11.66,78.28,50.02,100.87
7221,4.0,44.0,35.0,19.04,13.15,78.3,48.98,100.87
7222,72.0,4.0,44.0,19.05,12.4,78.28,51.76,100.86
7223,64.0,11.0,33.0,19.06,11.66,78.25,54.55,100.86
7224,26.0,23.0,25.0,19.0,10.97,78.43,55.18,100.85
7225,9.0,20.0,37.0,18.94,10.28,78.61,55.81,100.85
7226,21.0,36.0,68.0,18.92,9.9,78.94,59.48,100.84
7227,35.0,17.0,38.0,18.91,9.51,79.26,63.16,100.83
7228,71.0,10.0,33.0,18.94,9.73,79.05,54.22,100.82
7229,39.0,36.0,22.0,18.98,9.95,78.84,45.28,100.8
7230,19.0,21.0,28.0,18.92,9.22,78.84,42.98,100.8
7231,82.0,44.0,51.0,18.85,8.48,78.85,40.68,100.8
7232,70.0,26.0,52.0,18.85,8.82,78.84,37.93,100.8
7233,8.0,33.0,49.0,18.86,9.17,78.84,35.18,100.79
7234,55.0,40.0,44.0,18.86,9.51,78.83,32.43,100.79
7235,4.0,8.0,25.0,18.86,8.93,78.74,34.97,100.78
7236,44.0,33.0,35.0,18.87,8.36,78.64,37.5,100.78
7237,29.0,25.0,57.0,18.74,8.06,79.24,35.65,100.78
7238,74.0,9.0,25.0,18.62,7.77,79.83,33.8,100.77
7239,41.0,25.0,47.0,18.64,8.27,79.99,39.12,100.77
7240,26.0,36.0,55.0,18.66,8.78,80.15,44.44,100.77
7241,29.0,32.0,27.0,18.67,8.34,80.47,37.03,100.76
7242,16.0,1.0,45.0,18.68,7.9,80.79,29.63,100.76
7243,6.0,37.0,33.0,18.65,8.55,81.17,37.03,100.76
7244,64.0,0.0,41.0,18.62,9.2,81.55,44.44,100.76
7245,22.0,26.0,57.0,18.57,8.72,82.02,41.89,100.76
7246,4.0,10.0,40.0,18.52,8.24,82.48,39.34,100.75
7247,17.0,28.0,46.0,18.55,7.86,82.74,35.26,100.74
7248,88.0,16.0,55.0,18.58,7.49,82.99,31.17,100.74
7249,51.0,41.0,31.0,18.56,7.72,83.52,35.26,100.74
7250,84.0,22.0,34.0,18.53,7.94,84.04,39.34,100.74
7251,50.0,27.0,23.0,18.5,7.96,84.68,39.67,100.74
7252,80.0,4.0,42.0,18.46,7.97,85.33,40.0,100.74
7253,48.0,13.0,36.0,18.44,8.3,86.0,44.0,100.74
7254,68.0,40.0,26.0,18.42,8.62,86.67,48.0,100.74
7255,80.0,31.0,37.0,18.42,9.1,87.11,45.43,100.74
7256,44.0,20.0,23.0,18.43,9.58,87.55,42.86,100.73
7257,31.0,34.0,38.0,18.34,8.62,87.95,38.58,100.73
7258,34.0,22.0,46.0,18.25,7.67,88.35,34.29,100.73
7259,61.0,2.0,32.0,18.16,7.52,88.92,36.2,100.72
7260,30.0,44.0,53.0,18.08,7.36,89.49,38.1,100.72
7261,60.0,3.0,58.0,18.05,7.32,89.72,35.95,100.72
7262,7.0,15.0,41.0,18.01,7.28,89.94,33.8,100.72
7263,66.0,25.0,31.0,18.0,6.78,89.96,33.8,100.72
7264,81.0,8.0,54.0,17.99,6.28,89.97,33.8,100.71
7265,33.0,18.0,56.0,17.9,5.9,90.36,27.52,100.72
7266,58.0,6.0,35.0,17.8,5.51,90.76,21.24,100.72
7267,67.0,31.0,34.0,17.74,5.37,91.27,16.26,100.72
7268,86.0,38.0,47.0,17.68,5.23,91.78,11.27,100.73
7269,35.0,26.0,24.0,17.57,5.08,92.14,11.54,100.74
7270,5.0,11.0,65.0,17.46,4.93,92.5,11.82,100.74
7271,58.0,1.0,38.0,17.4,4.8,92.88,12.26,100.74
7272,90.0,36.0,24.0,17.34,4.67,93.26,12.7,100.75
7273,31.0,1.0,67.0,17.28,4.37,93.47,11.54,100.75
7274,85.0,35.0,50.0,17.22,4.07,93.68,10.39,100.75
7275,72.0,0.0,25.0,17.18,4.3,94.11,11.98,100.75
7276,48.0,15.0,66.0,17.15,4.52,94.54,13.56,100.75
7277,9.0,45.0,24.0,17.11,4.87,94.84,13.3,100.76
7278,19.0,4.0,29.0,17.08,5.22,95.15,13.04,100.78
7279,62.0,2.0,60.0,17.11,4.92,95.38,12.8,100.78
7280,50.0,0.0,63.0,17.14,4.63,95.62,12.57,100.78
7281,77.0,9.0,52.0,17.19,4.89,95.81,11.64,100.79
7282,20.0,22.0,63.0,17.23,5.15,96.0,10.71,100.8
7283,18.0,2.0,50.0,17.2,4.67,96.0,10.78,100.8
7284,27.0,23.0,33.0,17.18,4.19,96.0,10.86,100.81
7285,22.0,18.0,60.0,17.16,3.84,96.0,13.35,100.81
7286,41.0,4.0,32.0,17.15,3.49,96.0,15.83,100.82
7287,44.0,33.0,50.0,17.13,3.14,96.0,18.32,100.82
7288,54.0,40.0,55.0,17.1,2.72,96.0,11.68,100.83
7289,34.0,33.0,48.0,17.06,2.31,96.0,5.04,100.84
7290,51.0,18.0,26.0,17.09,1.68,96.0,4.54,100.84
7291,75.0,39.0,44.0,17.12,1.06,96.0,4.04,100.85
7292,29.0,9.0,70.0,17.28,1.32,96.0,4.72,100.86
7293,44.0,12.0,45.0,17.45,1.58,96.0,5.41,100.87
7294,85.0,36.0,69.0,17.94,1.39,95.76,5.93,100.87
7295,90.0,36.0,63.0,18.42,1.2,95.53,6.45,100.87
7296,85.0,3.0,68.0,19.16,1.47,92.2,5.74,100.87
7297,43.0,10.0,22.0,19.9,1.74,88.88,5.03,100.87
7298,67.0,42.0,31.0,20.74,1.86,84.32,5.32,100.88
7299,13.0,23.0,30.0,21.59,1.97,79.76,5.62,100.88
7300,55.0,24.0,67.0,22.19,2.4,76.53,10.36,100.88
7301,31.0,1.0,33.0,22.79,2.82,73.3,15.09,100.89
7302,84.0,34.0,44.0,23.4,3.06,70.78,10.85,100.89
7303,12.0,23.0,47.0,24.01,3.3,68.25,6.61,100.89
7304,88.0,34.0,31.0,24.44,3.49,66.72,8.32,100.9
7305,12.0,11.0,61.0,24.88,3.68,65.2,10.04,100.92
7306,62.0,27.0,30.0,25.08,4.19,64.24,9.74,100.93
7307,9.0,34.0,62.0,25.29,4.69,63.27,9.45,100.93
7308,81.0,0.0,45.0,25.9,4.93,60.96,10.84,100.94
7309,42.0,9.0,30.0,26.5,5.17,58.65,12.24,100.96
7310,54.0,20.0,44.0,26.82,5.58,57.28,13.02,100.96
7311,26.0,37.0,67.0,27.14,5.98,55.9,13.79,100.96
7312,53.0,14.0,34.0,27.34,6.06,54.8,13.68,100.96
7313,20.0,13.0,28.0,27.54,6.14,53.71,13.56,100.96
7314,50.0,25.0,44.0,27.87,6.12,52.4,14.38,100.96
7315,53.0,33.0,33.0,28.2,6.1,51.08,15.19,100.97
7316,51.0,19.0,22.0,28.76,6.22,49.55,13.84,100.98
7317,74.0,15.0,59.0,29.33,6.35,48.02,12.5,100.98
7318,76.0,16.0,20.0,29.84,6.28,46.3,13.1,101.0
7319,8.0,15.0,47.0,30.35,6.2,44.58,13.71,101.01
7320,53.0,0.0,66.0,30.9,6.34,42.86,14.64,101.0
7321,87.0,21.0,64.0,31.44,6.47,41.13,15.58,101.0
7322,76.0,3.0,50.0,31.95,5.73,39.69,13.76,101.0
7323,82.0,22.0,68.0,32.46,4.99,38.25,11.94,100.99
7324,50.0,14.0,32.0,32.7,5.62,37.38,18.09,100.98
7325,3.0,6.0,45.0,32.94,6.25,36.5,24.24,100.98
7326,7.0,26.0,62.0,33.14,5.93,35.98,18.98,100.98
7327,41.0,28.0,21.0,33.34,5.61,35.45,13.71,100.97
7328,69.0,32.0,37.0,34.39,5.52,33.08,12.36,100.98
7329,29.0,41.0,51.0,35.44,5.42,30.72,11.01,100.98
7330,24.0,1.0,61.0,35.74,5.27,29.52,18.41,100.98
7331,69.0,1.0,22.0,36.05,5.12,28.32,25.81,100.99
7332,64.0,24.0,21.0,36.26,5.67,27.4,29.57,100.98
7333,55.0,28.0,26.0,36.47,6.22,26.47,33.33,100.98
7334,72.0,34.0,55.0,36.85,5.69,25.96,27.98,100.98
7335,67.0,8.0,24.0,37.23,5.16,25.44,22.64,100.97
7336,61.0,38.0,49.0,37.38,5.43,24.74,23.69,100.96
7337,64.0,14.0,36.0,37.52,5.7,24.05,24.74,100.96
7338,83.0,37.0,56.0,38.08,5.4,23.46,21.97,100.96
7339,84.0,12.0,62.0,38.65,5.1,22.87,19.2,100.96
7340,85.0,36.0,41.0,38.49,5.52,23.47,20.91,100.95
7341,58.0,12.0,42.0,38.34,5.95,24.07,22.62,100.95
7342,64.0,24.0,31.0,38.18,6.37,24.66,24.33,100.94
7343,46.0,31.0,49.0,38.03,6.79,25.26,26.04,100.93
7344,85.0,21.0,63.0,37.88,7.22,25.86,27.76,100.93
7345,6.0,35.0,68.0,37.72,7.64,26.46,29.47,100.92
7346,80.0,0.0,62.0,37.56,8.06,27.05,31.18,100.91
7347,25.0,20.0,28.0,37.41,8.49,27.65,32.89,100.91
7348,81.0,27.0,61.0,37.25,8.91,28.25,34.6,100.9
7349,56.0,40.0,64.0,37.1,9.33,28.85,36.31,100.89
7350,35.0,8.0,37.0,36.94,9.76,29.45,38.02,100.89
7351,90.0,38.0,67.0,36.79,10.18,30.04,39.73,100.88
7352,68.0,10.0,57.0,36.64,10.6,30.64,41.44,100.87
7353,18.0,16.0,34.0,36.48,11.03,31.24,43.16,100.87
7354,83.0,0.0,26.0,36.33,11.45,31.84,44.87,100.86
7355,89.0,22.0,45.0,36.17,11.87,32.43,46.58,100.85
7356,47.0,32.0,20.0,36.02,12.3,33.03,48.29,100.85
7357,62.0,10.0,33.0,35.86,12.72,33.63,50.0,100.84
7358,44.0,18.0,53.0,35.61,10.78,34.75,46.82,100.83
7359,46.0,18.0,43.0,35.35,8.84,35.87,43.64,100.82
7360,27.0,5.0,67.0,36.0,10.18,34.69,32.16,100.82
7361,8.0,27.0,41.0,36.65,11.53,33.51,20.69,100.82
7362,70.0,24.0,48.0,36.3,12.4,34.0,35.34,100.81
7363,58.0,31.0,42.0,35.96,13.26,34.49,50.0,100.8
7364,63.0,14.0,22.0,35.03,12.43,36.41,36.22,100.79
7365,55.0,24.0,43.0,34.1,11.61,38.33,22.43,100.78
7366,30.0,29.0,66.0,33.39,11.76,39.86,36.22,100.77
7367,60.0,39.0,45.0,32.69,11.9,41.4,50.0,100.76
7368,12.0,12.0,49.0,33.04,12.92,40.54,37.24,100.75
7369,29.0,13.0,42.0,33.4,13.94,39.68,24.49,100.74
7370,36.0,26.0,36.0,32.99,13.78,40.54,38.91,100.74
7371,10.0,43.0,49.0,32.58,13.62,41.4,53.33,100.73
7372,4.0,24.0,35.0,32.2,12.68,42.3,60.95,100.72
7373,59.0,6.0,27.0,31.81,11.73,43.19,68.57,100.71
7374,40.0,4.0,29.0,31.66,12.62,43.39,64.28,100.7
7375,7.0,37.0,23.0,31.51,13.52,43.59,60.0,100.69
7376,80.0,34.0,62.0,31.76,13.04,43.04,57.28,100.68
7377,51.0,1.0,41.0,32.02,12.57,42.49,54.55,100.68
7378,65.0,20.0,21.0,31.04,14.56,43.57,70.59,100.66
7379,85.0,24.0,25.0,31.22,14.45,43.35,66.88,100.66
7380,57.0,14.0,62.0,31.39,14.34,43.13,63.16,100.66
7381,15.0,43.0,20.0,31.18,14.34,43.31,65.86,100.66
7382,57.0,26.0,63.0,30.96,14.35,43.49,68.57,100.65
7383,84.0,45.0,28.0,30.79,14.46,43.4,65.05,100.65
7384,57.0,25.0,31.0,30.62,14.58,43.31,61.54,100.65
7385,83.0,33.0,31.0,30.14,14.88,44.35,60.04,100.65
7386,76.0,36.0,41.0,29.65,15.17,45.39,58.54,100.64
7387,33.0,24.0,57.0,29.58,15.14,45.53,60.12,100.63
7388,19.0,0.0,31.0,29.51,15.11,45.68,61.7,100.62
7389,6.0,39.0,55.0,29.44,15.08,45.82,63.28,100.62
7390,38.0,18.0,46.0,29.37,15.05,45.96,64.86,100.61
7391,39.0,31.0,67.0,29.08,14.46,46.57,63.2,100.61
7392,85.0,40.0,26.0,28.78,13.86,47.18,61.54,100.61
7393,53.0,6.0,32.0,28.65,13.51,47.84,60.77,100.6
7394,61.0,3.0,32.0,28.51,13.16,48.5,60.0,100.6
7395,10.0,20.0,25.0,28.39,13.7,48.61,63.34,100.6
7396,24.0,18.0,48.0,28.27,14.24,48.73,66.67,100.59
7397,18.0,36.0,28.0,28.17,14.18,48.96,67.62,100.58
7398,65.0,23.0,29.0,28.08,14.11,49.19,68.57,100.58
7399,31.0,31.0,25.0,27.85,14.0,49.52,64.28,100.58
7400,64.0,1.0,35.0,27.62,13.9,49.84,60.0,100.59
7401,30.0,13.0,23.0,27.3,14.22,50.84,61.58,100.6
7402,32.0,15.0,59.0,26.99,14.54,51.84,63.16,100.6
7403,2.0,2.0,58.0,26.86,14.68,52.08,67.94,100.6
7404,81.0,44.0,62.0,26.73,14.81,52.32,72.73,100.6
7405,35.0,41.0,38.0,26.6,14.62,52.69,73.87,100.6
7406,21.0,23.0,49.0,26.47,14.44,53.06,75.0,100.6
7407,88.0,15.0,67.0,26.32,14.48,53.58,66.07,100.6
7408,90.0,4.0,56.0,26.17,14.52,54.11,57.14,100.6
7409,61.0,16.0,25.0,25.98,14.06,55.39,57.14,100.62
7410,8.0,5.0,63.0,25.79,13.61,56.67,57.14,100.63
7411,16.0,9.0,38.0,25.65,13.78,56.85,56.7,100.63
7412,31.0,23.0,51.0,25.52,13.95,57.03,56.25,100.62
7413,8.0,34.0,67.0,25.38,14.12,57.21,55.81,100.62
7414,43.0,10.0,26.0,25.3,13.41,57.77,57.18,100.62
7415,31.0,5.0,24.0,25.22,12.7,58.33,58.54,100.63
7416,3.0,37.0,67.0,24.87,12.58,59.54,56.54,100.62
7417,44.0,3.0,33.0,24.52,12.47,60.74,54.55,100.62
7418,7.0,30.0,60.0,24.39,11.91,62.2,52.8,100.62
7419,37.0,25.0,23.0,24.26,11.35,63.65,51.06,100.63
7420,82.0,18.0,52.0,23.92,12.36,65.28,54.8,100.64
7421,2.0,43.0,20.0,23.57,13.37,66.9,58.54,100.64
7422,8.0,45.0,21.0,23.26,13.26,68.14,61.7,100.65
7423,21.0,9.0,61.0,22.95,13.16,69.38,64.86,100.66
7424,89.0,19.0,61.0,22.78,12.52,70.14,64.86,100.66
7425,18.0,12.0,21.0,22.61,11.89,70.9,64.86,100.67
7426,29.0,14.0,65.0,22.36,12.14,72.78,59.1,100.67
7427,7.0,30.0,56.0,22.12,12.4,74.66,53.33,100.67
7428,14.0,35.0,60.0,21.66,12.89,78.66,58.24,100.68
7429,44.0,0.0,26.0,21.2,13.38,82.67,63.16,100.68
7430,33.0,36.0,34.0,21.03,12.36,83.75,59.48,100.68
7431,57.0,2.0,60.0,20.86,11.33,84.83,55.81,100.69
7432,48.0,13.0,20.0,20.72,10.64,85.22,50.98,100.69
7433,90.0,29.0,59.0,20.57,9.94,85.6,46.15,100.69
7434,11.0,0.0,39.0,20.52,9.71,85.26,43.7,100.69
7435,86.0,10.0,29.0,20.48,9.48,84.92,41.26,100.7
7436,55.0,34.0,33.0,20.43,9.26,84.57,38.81,100.7
7437,45.0,21.0,23.0,20.38,9.03,84.23,36.36,100.7
7438,72.0,25.0,65.0,20.4,8.66,83.06,36.36,100.7
7439,72.0,27.0,35.0,20.42,8.29,81.89,36.36,100.7
7440,20.0,38.0,35.0,20.44,8.82,81.35,35.83,100.71
7441,43.0,15.0,39.0,20.45,9.36,80.82,35.29,100.72
7442,7.0,24.0,36.0,20.35,8.98,81.84,37.0,100.73
7443,53.0,4.0,56.0,20.25,8.59,82.86,38.71,100.74
7444,33.0,39.0,46.0,20.22,8.98,83.56,41.18,100.75
7445,11.0,7.0,29.0,20.18,9.38,84.25,43.64,100.76
7446,88.0,8.0,30.0,20.14,10.1,84.74,47.02,100.77
7447,88.0,8.0,48.0,20.1,10.82,85.23,50.39,100.78
7448,18.0,11.0,67.0,20.07,11.54,85.72,53.76,100.79
7449,44.0,36.0,67.0,20.03,12.26,86.21,57.14,100.8
7450,52.0,18.0,53.0,19.99,11.89,87.18,50.79,100.81
7451,78.0,37.0,30.0,19.95,11.52,88.15,44.44,100.82
7452,84.0,21.0,43.0,19.91,11.37,88.97,46.71,100.83
7453,68.0,16.0,67.0,19.87,11.22,89.79,48.98,100.84
7454,25.0,23.0,57.0,19.82,10.93,90.36,44.83,100.84
7455,81.0,30.0,21.0,19.77,10.64,90.92,40.68,100.85
7456,22.0,34.0,67.0,19.72,10.41,91.19,30.86,100.85
7457,9.0,8.0,42.0,19.67,10.18,91.46,21.05,100.86
7458,77.0,15.0,21.0,19.64,9.88,91.74,20.52,100.86
7459,39.0,34.0,20.0,19.61,9.57,92.01,20.0,100.87
7460,58.0,8.0,50.0,19.6,9.69,92.22,20.0,100.87
7461,13.0,1.0,41.0,19.6,9.81,92.42,20.0,100.87
7462,79.0,12.0,37.0,19.62,9.74,92.2,23.8,100.88
7463,51.0,41.0,46.0,19.64,9.66,91.98,27.59,100.88
7464,88.0,28.0,56.0,19.63,9.28,91.76,25.8,100.88
7465,37.0,38.0,31.0,19.62,8.89,91.55,24.0,100.89
7466,24.0,30.0,48.0,19.62,8.01,91.43,27.58,100.9
7467,10.0,39.0,43.0,19.61,7.12,91.31,31.17,100.9
7468,12.0,7.0,27.0,19.62,7.9,91.34,35.92,100.9
7469,83.0,43.0,25.0,19.63,8.68,91.38,40.68,100.91
7470,6.0,22.0,47.0,19.62,8.69,91.42,40.15,100.91
7471,71.0,32.0,42.0,19.61,8.71,91.45,39.62,100.91
7472,7.0,9.0,67.0,19.6,8.72,91.48,39.09,100.92
7473,65.0,33.0,61.0,19.58,8.73,91.52,38.56,100.92
7474,61.0,40.0,46.0,19.57,8.75,91.56,38.03,100.92
7475,33.0,0.0,48.0,19.56,8.76,91.59,37.5,100.92
7476,49.0,11.0,49.0,19.47,8.5,91.94,38.42,100.93
7477,6.0,3.0,56.0,19.38,8.23,92.28,39.34,100.93
7478,20.0,33.0,43.0,19.39,9.06,92.47,44.16,100.93
7479,5.0,13.0,59.0,19.4,9.89,92.66,48.98,100.92
7480,7.0,24.0,28.0,19.32,9.12,92.97,44.16,100.92
7481,50.0,28.0,65.0,19.25,8.36,93.28,39.34,100.91
7482,32.0,40.0,54.0,19.2,8.03,93.62,37.99,100.91
7483,28.0,26.0,59.0,19.16,7.69,93.97,36.64,100.91
7484,53.0,6.0,65.0,19.11,7.36,94.31,35.29,100.91
7485,43.0,30.0,40.0,19.1,7.2,94.7,38.34,100.9
7486,37.0,12.0,22.0,19.09,7.03,95.1,41.38,100.9
7487,40.0,6.0,29.0,19.1,7.14,95.14,29.72,100.9
7488,9.0,33.0,64.0,19.12,7.26,95.17,18.05,100.91
7489,24.0,45.0,70.0,19.09,7.5,95.31,17.24,100.91
7490,35.0,11.0,51.0,19.06,7.73,95.45,16.44,100.91
7491,31.0,43.0,37.0,19.02,7.82,95.65,15.96,100.91
7492,39.0,19.0,29.0,18.99,7.9,95.85,15.48,100.91
7493,44.0,7.0,39.0,18.98,7.48,95.9,20.92,100.9
7494,25.0,1.0,60.0,18.98,7.06,95.96,26.37,100.9
7495,51.0,42.0,22.0,19.02,7.06,95.9,23.02,100.9
7496,69.0,14.0,46.0,19.05,7.07,95.85,19.67,100.9
7497,33.0,17.0,60.0,19.04,7.04,95.84,24.84,100.9
7498,47.0,24.0,62.0,19.03,7.01,95.84,30.0,100.9
7499,50.0,13.0,51.0,19.04,6.76,95.78,21.6,100.9
7500,6.0,30.0,59.0,19.04,6.51,95.72,13.19,100.9
7501,79.0,10.0,38.0,19.0,7.03,95.84,15.62,100.9
7502,22.0,8.0,47.0,18.97,7.55,95.95,18.05,100.89
7503,36.0,7.0,39.0,18.94,7.36,95.98,17.54,100.89
7504,90.0,45.0,53.0,18.91,7.18,96.0,17.02,100.89
7505,63.0,1.0,67.0,18.88,6.74,96.0,15.66,100.88
7506,15.0,42.0,38.0,18.85,6.29,96.0,14.29,100.88
7507,19.0,40.0,62.0,18.81,6.4,96.0,13.7,100.88
7508,66.0,4.0,55.0,18.77,6.52,96.0,13.11,100.87
7509,29.0,35.0,62.0,18.72,6.3,96.0,12.46,100.87
7510,58.0,32.0,69.0,18.66,6.09,96.0,11.82,100.87
7511,35.0,11.0,34.0,18.68,6.02,96.0,12.73,100.86
7512,79.0,23.0,68.0,18.69,5.95,96.0,13.64,100.85
7513,47.0,11.0,56.0,18.62,5.93,96.0,12.59,100.85
7514,51.0,7.0,67.0,18.55,5.91,96.0,11.54,100.86
7515,20.0,12.0,50.0,18.55,5.93,96.0,11.3,100.86
7516,36.0,31.0,62.0,18.54,5.94,96.0,11.06,100.86
7517,27.0,22.0,22.0,18.49,5.94,96.0,11.44,100.86
7518,43.0,35.0,56.0,18.45,5.95,96.0,11.82,100.86
7519,55.0,38.0,59.0,18.42,6.3,96.0,11.79,100.85
7520,4.0,44.0,57.0,18.4,6.65,96.0,11.76,100.84
7521,79.0,32.0,54.0,18.35,6.68,96.0,13.11,100.84
7522,86.0,45.0,58.0,18.31,6.72,96.0,14.46,100.83
7523,39.0,17.0,33.0,18.26,5.82,96.0,13.29,100.83
7524,86.0,22.0,40.0,18.21,4.93,96.0,12.12,100.83
7525,60.0,28.0,46.0,18.16,5.0,96.0,11.7,100.83
7526,90.0,0.0,70.0,18.11,5.06,96.0,11.27,100.84
7527,61.0,23.0,49.0,18.06,5.13,96.0,10.85,100.84
7528,84.0,24.0,28.0,18.01,5.2,96.0,10.43,100.84
7529,58.0,28.0,64.0,17.93,4.58,96.0,10.09,100.84
7530,37.0,30.0,21.0,17.85,3.96,96.0,9.76,100.84
7531,51.0,45.0,52.0,17.76,3.98,96.0,9.62,100.84
7532,57.0,28.0,23.0,17.68,4.0,96.0,9.49,100.84
7533,23.0,17.0,42.0,17.58,3.66,96.0,8.02,100.84
7534,68.0,44.0,37.0,17.49,3.32,96.0,6.56,100.84
7535,61.0,37.0,61.0,17.38,3.24,96.0,6.64,100.84
7536,70.0,9.0,57.0,17.26,3.16,96.0,6.72,100.83
7537,24.0,27.0,37.0,17.15,2.62,96.0,5.97,100.83
7538,87.0,45.0,47.0,17.04,2.09,96.0,5.21,100.83
7539,36.0,28.0,49.0,16.93,1.55,96.0,4.46,100.83
7540,73.0,41.0,63.0,16.76,1.68,96.0,5.8,100.83
7541,33.0,35.0,68.0,16.58,1.82,96.0,7.14,100.83
7542,50.0,10.0,40.0,16.49,1.45,96.0,6.73,100.82
7543,13.0,20.0,57.0,16.41,1.08,96.0,6.32,100.82
7544,58.0,12.0,53.0,16.46,2.12,96.0,14.17,100.82
7545,33.0,1.0,32.0,16.51,3.16,96.0,22.02,100.81
7546,77.0,15.0,28.0,16.62,2.73,96.0,15.39,100.82
7547,42.0,44.0,56.0,16.72,2.3,96.0,8.76,100.82
7548,44.0,14.0,48.0,16.7,2.64,96.0,10.7,100.82
7549,88.0,27.0,37.0,16.69,2.99,96.0,12.63,100.83
7550,16.0,39.0,67.0,16.7,3.26,96.0,10.12,100.84
7551,81.0,26.0,25.0,16.71,3.54,96.0,7.62,100.85
7552,64.0,36.0,34.0,16.75,3.64,96.0,13.34,100.85
7553,78.0,3.0,47.0,16.79,3.74,96.0,19.05,100.85
7554,43.0,24.0,23.0,16.8,3.78,96.0,13.48,100.85
7555,86.0,12.0,57.0,16.81,3.83,96.0,7.92,100.85
7556,73.0,17.0,69.0,16.9,4.1,96.0,7.52,100.85
7557,53.0,12.0,46.0,16.99,4.36,96.0,7.12,100.85
7558,85.0,21.0,28.0,17.01,4.24,96.0,7.94,100.85
7559,27.0,32.0,48.0,17.03,4.12,96.0,8.76,100.86
7560,12.0,41.0,28.0,17.07,4.1,96.0,7.96,100.87
7561,22.0,5.0,48.0,17.1,4.07,96.0,7.16,100.88
7562,40.0,26.0,23.0,17.11,4.05,96.0,8.16,100.88
7563,16.0,11.0,38.0,17.12,4.03,96.0,9.16,100.88
7564,88.0,8.0,41.0,17.16,4.55,96.0,11.86,100.88
7565,86.0,2.0,39.0,17.2,5.07,96.0,14.55,100.88
7566,7.0,18.0,63.0,17.19,5.22,96.0,12.16,100.89
7567,48.0,11.0,69.0,17.17,5.37,96.0,9.76,100.9
7568,52.0,6.0,65.0,17.18,5.82,96.0,11.16,100.9
7569,84.0,21.0,42.0,17.19,6.27,96.0,12.57,100.9
7570,26.0,44.0,21.0,17.26,6.27,96.0,21.1,100.89
7571,63.0,41.0,57.0,17.33,6.27,96.0,29.63,100.88
7572,86.0,30.0,56.0,17.33,5.88,96.0,26.03,100.89
7573,76.0,34.0,35.0,17.34,5.5,96.0,22.43,100.9
7574,45.0,35.0,56.0,17.33,5.46,96.0,16.85,100.9
7575,2.0,39.0,60.0,17.32,5.43,96.0,11.27,100.9
7576,29.0,16.0,66.0,17.45,5.39,96.0,11.7,100.9
7577,44.0,13.0,37.0,17.58,5.34,96.0,12.12,100.91
7578,86.0,26.0,43.0,17.71,5.3,96.0,12.54,100.92
7579,88.0,12.0,50.0,17.84,5.26,96.0,12.97,100.92
7580,1.0,42.0,58.0,17.96,5.28,96.0,12.04,100.92
7581,2.0,43.0,42.0,18.08,5.31,96.0,11.11,100.92
7582,42.0,12.0,42.0,18.2,5.24,96.0,10.46,100.93
7583,77.0,29.0,53.0,18.32,5.17,96.0,9.8,100.94
7584,77.0,22.0,23.0,18.44,4.84,96.0,10.1,100.94
7585,42.0,24.0,43.0,18.55,4.5,96.0,10.39,100.95
7586,7.0,12.0,31.0,18.62,4.76,96.0,9.39,100.96
7587,67.0,21.0,26.0,18.7,5.02,96.0,8.39,100.97
7588,84.0,3.0,65.0,19.17,5.16,96.0,8.81,100.97
7589,55.0,31.0,67.0,19.63,5.3,96.0,9.22,100.97
